symbol,year,total_trades,grid_trades,trend_trades,grid_pnl,trend_pnl,grid_return,trend_return,total_return,total_pnl,win_rate,grid_win_rate,trend_win_rate,max_drawdown,sharpe,profit_factor,init_balance,final_equity
ICP,2022,1116,969,147,690.1318974725855,9906.085588891328,6.9013189747258545,99.06085588891328,47.233593450876235,10596.217486363914,63.620071684587806,64.60268317853458,57.14285714285714,3.088578378185744,3.1529275610831995,0.8310811582730392,20000,29446.718690175247
ADA,2022,959,819,140,6376.224711262853,9235.990972905493,63.762247112628536,92.35990972905492,44.48821964055343,15612.215684168346,64.12930135557873,65.56776556776556,55.714285714285715,4.305143165300285,2.53407767880839,0.8192194186261914,20000,28897.643928110687
BCH,2022,897,782,115,30.404751865669567,8661.22537837616,0.3040475186566956,86.6122537837616,41.96181040664022,8691.63013024183,65.99777034559644,66.75191815856778,60.86956521739131,2.6004290387633993,3.958828784394802,0.7955369628346871,20000,28392.362081328043
AVAX,2022,603,518,85,60.65143275533965,8461.192929482104,0.6065143275533965,84.61192929482104,41.38928712507765,8521.844362237443,64.8424543946932,65.05791505791507,63.52941176470588,2.653898018180121,6.4815649168335385,0.8405877662959109,20000,28277.85742501553
LTC,2022,923,808,115,75.6685409632474,7986.480465970546,0.756685409632474,79.86480465970546,38.25789674309553,8062.149006933793,65.33044420368364,65.71782178217822,62.60869565217392,1.8200911295829616,3.832263796268826,0.7941799391056246,20000,27651.579348619107
DOT,2022,500,427,73,202.5149862085688,7490.776429180782,2.025149862085688,74.90776429180782,36.72880886554676,7693.291415389351,64.8,64.87119437939111,64.38356164383562,2.0034306370659953,5.358305205555279,0.8583796252620728,20000,27345.761773109352
SOL,2022,532,450,82,33.169768668818655,7185.898140478574,0.3316976866881865,71.85898140478574,35.04675870108909,7219.067909147392,62.40601503759399,62.44444444444445,62.19512195121951,2.215463703968036,5.036456166652383,0.8752444834373009,20000,27009.35174021782
UNI,2022,631,565,66,523.386285400865,5988.672060920498,5.23386285400865,59.88672060920498,29.241371704719715,6512.0583463213625,66.71949286846277,67.2566371681416,62.121212121212125,1.3836125247922173,5.621069872319694,0.8096341454921738,20000,25848.274340943943
BNB,2022,763,575,188,5.03455731872349,6117.885487657057,0.0503455731872348,61.17885487657057,28.671457216769745,6122.92004497578,58.97771952817824,61.39130434782609,51.59574468085106,2.5773348660797732,3.509593943463019,0.8813841461333154,20000,25734.291443353948
AAVE,2022,672,612,60,25.219489734582975,5751.180689766651,0.2521948973458297,57.5118068976665,28.14858121612593,5776.400179501234,64.13690476190477,64.2156862745098,63.33333333333333,2.0924656623211755,5.592619081912805,0.7862829818040744,20000,25629.716243225183
LINK,2022,470,403,67,251.0380229769935,4198.236586053245,2.510380229769935,41.982365860532454,20.324625868186885,4449.274609030239,62.12765957446808,64.01985111662532,50.74626865671642,2.315325719651277,4.185777113178081,0.898905044045462,20000,24064.925173637377
ETH,2022,394,292,102,1.2509148038654536,3822.484916190816,0.0125091480386545,38.22484916190817,18.139687625941697,3823.7358309946817,64.46700507614213,67.8082191780822,54.90196078431373,3.243761439534759,3.6637159348532977,0.9440877823036868,20000,23627.93752518834
BTC,2022,313,220,93,0.0090290706548024,3118.2464896324063,9.029070654802452e-05,31.182464896324063,14.707773009761876,3118.255518703061,59.7444089456869,60.909090909090914,56.98924731182796,1.7800315383207248,3.799874975172636,0.8641217098757552,20000,22941.554601952375
XRP,2022,430,398,32,2296.893352071412,1750.0518195838126,22.96893352071412,17.500518195838126,8.458083542450805,4046.945171655225,63.72093023255814,63.81909547738693,62.5,3.6848872051766137,1.3154524869462527,0.7497619989416968,20000,21691.61670849016
SOL,2023,901,775,126,169.85420258738006,11682.46736801222,1.6985420258738004,116.82467368012222,56.741529804257205,11852.3215705996,64.59489456159822,64.90322580645162,62.698412698412696,2.067361964124821,4.447122836701237,0.8221661497499252,20000,31348.30596085144
ICP,2023,815,628,187,1010.196218304361,11355.525055565577,10.101962183043607,113.55525055565576,54.48046608960332,12365.721273869938,63.80368098159509,66.56050955414013,54.54545454545454,3.1071827998851376,3.3663283038290093,0.939827589390192,20000,30896.093217920665
SUI,2023,675,580,95,3753.731037603637,5816.606055649641,37.53731037603637,58.16606055649641,27.285786881680774,9570.337093253278,63.40740740740741,64.48275862068965,56.84210526315789,6.897246596253778,2.2266724927871095,0.8213107056244294,20000,25457.157376336156
LINK,2023,758,607,151,579.7474811281093,5149.63232185588,5.797474811281092,51.49632321855881,24.343665023358007,5729.379802983989,64.1160949868074,66.88632619439868,52.980132450331126,2.308109832548416,2.7349600998586903,0.8558415214709694,20000,24868.7330046716
AAVE,2023,845,703,142,38.04376084037518,5041.194209252716,0.3804376084037518,50.41194209252716,23.738797348735133,5079.2379700930915,60.946745562130175,63.1578947368421,50.0,2.4398100449267504,2.5917348604804173,0.8324675022598814,20000,24747.759469747027
BTC,2023,306,177,129,0.0739845279252272,4931.73533919807,0.0007398452792522,49.317353391980696,23.316514304510257,4931.809323725995,66.01307189542483,70.05649717514125,60.46511627906976,1.6350522479977745,3.2371214917283027,1.047613918433968,20000,24663.30286090205
DOT,2023,634,464,170,549.3461005304836,4953.183105666842,5.493461005304836,49.531831056668416,22.718334255845875,5502.529206197325,62.14511041009464,65.08620689655173,54.11764705882353,1.8523789958597665,2.9019534139422474,0.8838774405028545,20000,24543.666851169175
ADA,2023,706,579,127,5898.382762916003,5178.935926713615,58.98382762916003,51.78935926713615,22.145834808107647,11077.318689629616,63.45609065155807,65.11226252158895,55.90551181102362,8.310433875480573,1.2636325733796696,0.8168252531228039,20000,24429.16696162153
UNI,2023,655,500,155,414.78155875709416,4756.855879558461,4.147815587570942,47.568558795584615,22.069424522113476,5171.637438315555,60.152671755725194,62.8,51.61290322580645,2.205896230416452,2.3448768443195327,0.8912812591774526,20000,24413.884904422695
AVAX,2023,761,642,119,326.4789856231238,4324.583836364551,3.264789856231238,43.245838363645504,20.439902296338243,4651.062821987674,64.65177398160316,66.66666666666666,53.78151260504202,3.2443029886378567,2.314449508610253,0.8449340971504751,20000,24087.98045926765
LTC,2023,514,422,92,33.78252481355347,3867.949191681227,0.3378252481355347,38.679491916812275,18.355946884768674,3901.7317164947817,64.00778210116731,65.63981042654028,56.52173913043478,4.948626199997362,1.8930324635650864,0.8329604510843022,20000,23671.189376953735
ETH,2023,403,282,121,0.5321720511031578,3445.44963408351,0.0053217205110315,34.4544963408351,16.03331623792206,3445.981806134613,59.30521091811415,62.056737588652474,52.89256198347107,1.6356545893111356,2.666676146631267,0.9244435460036402,20000,23206.663247584413
XRP,2023,569,481,88,4095.85496525745,3409.9391935565277,40.9585496525745,34.09939193556528,14.95665446241388,7505.794158813978,63.620386643233736,65.48856548856548,53.40909090909091,5.785423614627911,0.9025598089009068,0.8197576975689628,20000,22991.330892482776
BCH,2023,652,560,92,12.885986000256946,2709.938410330813,0.1288598600025694,27.09938410330813,12.697792674955908,2722.82439633107,61.34969325153374,63.57142857142857,47.82608695652174,1.978212272607015,1.7781579052880154,0.7927380666987567,20000,22539.55853499118
BNB,2023,366,226,140,12.84254331010675,2372.081319421477,0.1284254331010675,23.72081319421477,10.573810613176466,2384.923862731584,65.57377049180327,75.22123893805309,50.0,2.5408980686641587,1.7873947265575223,1.0863323866938237,20000,22114.762122635293
SUI,2024,1343,1228,115,4033.4355026361527,12135.438390102989,40.33435502636153,121.35438390102986,59.0531963293088,16168.87389273914,63.73790022338049,64.25081433224756,58.26086956521739,3.216419752894812,3.5689314013754707,0.7835969680034924,20000,31810.63926586176
AAVE,2024,1025,848,177,21.381320907011453,10918.374506482756,0.2138132090701145,109.18374506482756,52.633763772665446,10939.755827389768,61.073170731707314,62.02830188679245,56.49717514124294,3.453379930370227,4.033924399956774,0.8325954747783822,20000,30526.75275453309
DOT,2024,860,657,203,202.50369934788213,10823.959855451354,2.0250369934788215,108.23959855451356,51.28352793920842,11026.463554799237,59.53488372093023,60.882800608828006,55.172413793103445,2.4383904887577175,4.460644579643718,0.8940289816483982,20000,30256.705587841683
AVAX,2024,1065,891,174,54.24580824042414,9954.738154355837,0.5424580824042414,99.54738154355836,47.57626835511781,10008.98396259626,59.53051643192489,60.38159371492705,55.172413793103445,3.2129901580997737,3.9687146949097114,0.8337120384687428,20000,29515.25367102356
SOL,2024,995,818,177,15.174712880196571,9670.252159917913,0.1517471288019657,96.70252159917912,46.21479716278336,9685.426872798109,61.10552763819096,61.7359413202934,58.19209039548022,3.011335722895535,3.852845572490243,0.820451702032182,20000,29242.959432556672
LINK,2024,965,770,195,193.7478658043519,8843.863802835258,1.937478658043519,88.43863802835259,41.79397262690185,9037.611668639607,61.554404145077726,63.37662337662338,54.35897435897436,4.899949564555774,3.4128942496446273,0.8540153825068214,20000,28358.79452538037
ETH,2024,576,438,138,0.24087184481536,8268.025610671102,0.0024087184481536,82.68025610671103,39.78395819553683,8268.266482515917,62.84722222222222,61.87214611872146,65.94202898550725,1.4041973637390848,5.254220437132085,0.8024366934558872,20000,27956.791639107367
BCH,2024,921,799,122,3.753228447849492,7332.217928613589,0.0375322844784949,73.32217928613589,35.26078281565497,7335.971157061438,61.23778501628665,61.45181476846058,59.83606557377049,2.5955063770714304,3.714109891796104,0.7795537908109909,20000,27052.156563130993
ICP,2024,1177,1014,163,571.7556929847283,7163.95373641867,5.717556929847283,71.6395373641867,33.95091155936914,7735.709429403398,63.2965165675446,64.99013806706114,52.760736196319016,3.759842726577942,2.603315397949165,0.8042373398724204,20000,26790.18231187383
XRP,2024,766,654,112,2307.602366062939,6488.536344939759,23.07602366062939,64.88536344939759,31.19159850702085,8796.138711002699,61.74934725848564,62.69113149847095,56.25,4.931826196005707,2.0472243667127143,0.8326184201255318,20000,26238.31970140417
BTC,2024,490,271,219,0.0251567939623049,6561.331292951562,0.000251567939623,65.61331292951562,30.43170530021429,6561.3564497455245,61.0204081632653,65.31365313653137,55.70776255707762,1.8035593908639185,4.326428974819898,1.027277391214568,20000,26086.341060042854
BNB,2024,584,363,221,4.795498545171127,6370.100741766522,0.0479549854517112,63.701007417665224,29.40414692453387,6374.896240311694,60.61643835616438,65.28925619834712,52.94117647058824,2.9687287510581633,3.7421534112187578,0.9941249266943,20000,25880.829384906778
ADA,2024,818,667,151,4923.67971080017,6091.124502258972,49.2367971080017,60.911245022589725,27.797630530543422,11014.804213059142,62.34718826405869,63.718140929535224,56.29139072847682,7.6441890399133,1.6296849401148947,0.8616737642043015,20000,25559.52610610869
LTC,2024,793,602,191,1.265946698746342,5597.768460922515,0.0126594669874634,55.97768460922515,25.966393771659384,5599.034407621261,56.746532156368225,59.136212624584715,49.21465968586388,2.2550986156348527,2.9378192339895595,0.8701319108223,20000,25193.278754331877
UNI,2024,1028,913,115,122.97768097828774,4338.456672392106,1.2297768097828774,43.38456672392106,20.300752879839436,4461.434353370394,59.33852140077821,60.13143483023001,53.04347826086957,4.128943610293504,2.40221527381591,0.7761822791237917,20000,24060.150575967888
